Team 1,Team 2,Team 1 Wins,Team 2 Wins
Brooklyn Nets,Toronto Raptors,2,2
Brooklyn Nets,Utah Jazz,2,0
Brooklyn Nets,Washington Wizards,0,3
Charlotte Bobcats,Chicago Bulls,1,3
Charlotte Bobcats,Cleveland Cavaliers,4,0
Charlotte Bobcats,Dallas Mavericks,1,1
Charlotte Bobcats,Denver Nuggets,2,0
Charlotte Bobcats,Detroit Pistons,3,0
Charlotte Bobcats,Golden State Warriors,2,0
Charlotte Bobcats,Houston Rockets,0,2
Charlotte Bobcats,Indiana Pacers,1,2
Charlotte Bobcats,Los Angeles Clippers,1,1
Charlotte Bobcats,Los Angeles Lakers,1,1
Charlotte Bobcats,Memphis Grizzlies,1,1
Charlotte Bobcats,Miami Heat,0,4
Charlotte Bobcats,Milwaukee Bucks,4,0
Charlotte Bobcats,Minnesota Timberwolves,1,1
Charlotte Bobcats,New Orleans Pelicans,1,1
Charlotte Bobcats,New York Knicks,2,2
Charlotte Bobcats,Oklahoma City Thunder,0,2
Charlotte Bobcats,Orlando Magic,2,2
Charlotte Bobcats,Philadelphia 76ers,3,1
Charlotte Bobcats,Phoenix Suns,0,2
Charlotte Bobcats,Portland Trail Blazers,1,1
Charlotte Bobcats,Sacramento Kings,2,0
Charlotte Bobcats,San Antonio Spurs,0,2
Charlotte Bobcats,Toronto Raptors,3,0
Charlotte Bobcats,Utah Jazz,0,2
Charlotte Bobcats,Washington Wizards,3,1
Chicago Bulls,Cleveland Cavaliers,3,1
Chicago Bulls,Dallas Mavericks,1,1
Chicago Bulls,Denver Nuggets,1,1
Chicago Bulls,Detroit Pistons,3,1
Chicago Bulls,Golden State Warriors,1,1
Chicago Bulls,Houston Rockets,1,1
Chicago Bulls,Indiana Pacers,2,2
Chicago Bulls,Los Angeles Clippers,0,2
Chicago Bulls,Los Angeles Lakers,2,0
Chicago Bulls,Memphis Grizzlies,1,1
Chicago Bulls,Miami Heat,2,2
Chicago Bulls,Milwaukee Bucks,3,1
Chicago Bulls,Minnesota Timberwolves,1,1
Chicago Bulls,New Orleans Pelicans,0,2
Chicago Bulls,New York Knicks,2,2
Chicago Bulls,Oklahoma City Thunder,0,2
Chicago Bulls,Orlando Magic,2,1
Chicago Bulls,Philadelphia 76ers,3,1
Chicago Bulls,Phoenix Suns,2,0
Chicago Bulls,Portland Trail Blazers,0,2
Chicago Bulls,Sacramento Kings,1,1
Chicago Bulls,San Antonio Spurs,1,1
Chicago Bulls,Toronto Raptors,2,2
Chicago Bulls,Utah Jazz,1,1
Chicago Bulls,Washington Wizards,1,2
Cleveland Cavaliers,Dallas Mavericks,0,2
Cleveland Cavaliers,Denver Nuggets,2,0
Cleveland Cavaliers,Detroit Pistons,3,1
Cleveland Cavaliers,Golden State Warriors,1,1
Cleveland Cavaliers,Houston Rockets,0,2
Cleveland Cavaliers,Indiana Pacers,1,3
Cleveland Cavaliers,Los Angeles Clippers,1,1
Cleveland Cavaliers,Los Angeles Lakers,1,1
Cleveland Cavaliers,Memphis Grizzlies,1,1
Cleveland Cavaliers,Miami Heat,0,3
Cleveland Cavaliers,Milwaukee Bucks,2,2
Cleveland Cavaliers,Minnesota Timberwolves,1,1
Cleveland Cavaliers,New Orleans Pelicans,0,2
Cleveland Cavaliers,New York Knicks,2,2
Cleveland Cavaliers,Oklahoma City Thunder,1,1
Cleveland Cavaliers,Orlando Magic,4,0
Cleveland Cavaliers,Philadelphia 76ers,3,1
Cleveland Cavaliers,Phoenix Suns,1,1
Cleveland Cavaliers,Portland Trail Blazers,0,2
Cleveland Cavaliers,Sacramento Kings,1,1
Cleveland Cavaliers,San Antonio Spurs,0,2
Cleveland Cavaliers,Toronto Raptors,1,2
Cleveland Cavaliers,Utah Jazz,2,0
Cleveland Cavaliers,Washington Wizards,2,2
Dallas Mavericks,Denver Nuggets,1,3
Dallas Mavericks,Detroit Pistons,2,0
Dallas Mavericks,Golden State Warriors,1,3
Dallas Mavericks,Houston Rockets,2,2
Dallas Mavericks,Indiana Pacers,2,0
Dallas Mavericks,Los Angeles Clippers,1,3
Dallas Mavericks,Los Angeles Lakers,3,0
Dallas Mavericks,Memphis Grizzlies,3,1
Dallas Mavericks,Miami Heat,0,2
Dallas Mavericks,Milwaukee Bucks,2,0
Dallas Mavericks,Minnesota Timberwolves,1,3
Dallas Mavericks,New Orleans Pelicans,4,0
Dallas Mavericks,New York Knicks,1,1
Dallas Mavericks,Oklahoma City Thunder,2,1
Dallas Mavericks,Orlando Magic,2,0
Dallas Mavericks,Philadelphia 76ers,2,0
Dallas Mavericks,Phoenix Suns,2,1
Dallas Mavericks,Portland Trail Blazers,2,1
Dallas Mavericks,Sacramento Kings,3,1
Dallas Mavericks,San Antonio Spurs,0,4
Dallas Mavericks,Toronto Raptors,0,2
Dallas Mavericks,Utah Jazz,4,0
Dallas Mavericks,Washington Wizards,2,0
Denver Nuggets,Detroit Pistons,1,1
Denver Nuggets,Golden State Warriors,2,2
Denver Nuggets,Houston Rockets,1,2
Denver Nuggets,Indiana Pacers,1,1
Denver Nuggets,Los Angeles Clippers,2,2
Denver Nuggets,Los Angeles Lakers,3,0
Denver Nuggets,Memphis Grizzlies,1,3
Denver Nuggets,Miami Heat,1,1
Denver Nuggets,Milwaukee Bucks,2,0
Denver Nuggets,Minnesota Timberwolves,2,2
Denver Nuggets,New Orleans Pelicans,2,2
Denver Nuggets,New York Knicks,1,1
Denver Nuggets,Oklahoma City Thunder,1,3
Denver Nuggets,Orlando Magic,2,0
Denver Nuggets,Philadelphia 76ers,1,1
Denver Nuggets,Phoenix Suns,0,4
Denver Nuggets,Portland Trail Blazers,0,4
Denver Nuggets,Sacramento Kings,1,2
Denver Nuggets,San Antonio Spurs,0,3
Denver Nuggets,Toronto Raptors,1,1
Denver Nuggets,Utah Jazz,2,2
Denver Nuggets,Washington Wizards,2,0
Detroit Pistons,Golden State Warriors,0,2
Detroit Pistons,Houston Rockets,0,2
Detroit Pistons,Indiana Pacers,1,3
Detroit Pistons,Los Angeles Clippers,0,2
Detroit Pistons,Los Angeles Lakers,0,2
Detroit Pistons,Memphis Grizzlies,0,2
Detroit Pistons,Miami Heat,1,3
Detroit Pistons,Milwaukee Bucks,3,1
Detroit Pistons,Minnesota Timberwolves,0,2
Detroit Pistons,New Orleans Pelicans,0,2
Detroit Pistons,New York Knicks,2,1
Detroit Pistons,Oklahoma City Thunder,0,2
Detroit Pistons,Orlando Magic,1,2
Detroit Pistons,Philadelphia 76ers,3,1
Detroit Pistons,Phoenix Suns,1,1
Detroit Pistons,Portland Trail Blazers,0,2
Detroit Pistons,Sacramento Kings,2,0
Detroit Pistons,San Antonio Spurs,1,1
Detroit Pistons,Toronto Raptors,0,3
Detroit Pistons,Utah Jazz,1,1
Detroit Pistons,Washington Wizards,2,2
Golden State Warriors,Houston Rockets,1,2
Golden State Warriors,Indiana Pacers,1,1
Golden State Warriors,Los Angeles Clippers,2,2
Golden State Warriors,Los Angeles Lakers,3,1
Golden State Warriors,Memphis Grizzlies,2,2
Golden State Warriors,Miami Heat,1,1
Golden State Warriors,Milwaukee Bucks,2,0
Golden State Warriors,Minnesota Timberwolves,2,1
Golden State Warriors,New Orleans Pelicans,3,0
Golden State Warriors,New York Knicks,1,1
Golden State Warriors,Oklahoma City Thunder,1,2
Golden State Warriors,Orlando Magic,2,0
Golden State Warriors,Philadelphia 76ers,2,0
Golden State Warriors,Phoenix Suns,2,2
Golden State Warriors,Portland Trail Blazers,2,2
Golden State Warriors,Sacramento Kings,4,0
Golden State Warriors,San Antonio Spurs,0,4
Golden State Warriors,Toronto Raptors,1,1
Golden State Warriors,Utah Jazz,4,0
Golden State Warriors,Washington Wizards,1,1
Houston Rockets,Indiana Pacers,1,1
Houston Rockets,Los Angeles Clippers,0,4
Houston Rockets,Los Angeles Lakers,3,1
Houston Rockets,Memphis Grizzlies,2,2
Houston Rockets,Miami Heat,1,1
Houston Rockets,Milwaukee Bucks,2,0
Houston Rockets,Minnesota Timberwolves,3,1
Houston Rockets,New Orleans Pelicans,3,1
Houston Rockets,New York Knicks,2,0
Houston Rockets,Oklahoma City Thunder,1,3
Houston Rockets,Orlando Magic,2,0
Houston Rockets,Philadelphia 76ers,1,1
Houston Rockets,Phoenix Suns,2,1
Houston Rockets,Portland Trail Blazers,3,1
Houston Rockets,Sacramento Kings,2,2
Houston Rockets,San Antonio Spurs,4,0
Houston Rockets,Toronto Raptors,1,1
Houston Rockets,Utah Jazz,2,1
Houston Rockets,Washington Wizards,2,0
Indiana Pacers,Los Angeles Clippers,2,0
Indiana Pacers,Los Angeles Lakers,2,0
Indiana Pacers,Memphis Grizzlies,1,1
Indiana Pacers,Miami Heat,2,2
Indiana Pacers,Milwaukee Bucks,4,0
Indiana Pacers,Minnesota Timberwolves,1,1
Indiana Pacers,New Orleans Pelicans,2,0
Indiana Pacers,New York Knicks,2,1
Indiana Pacers,Oklahoma City Thunder,1,1
Indiana Pacers,Orlando Magic,3,1
Indiana Pacers,Philadelphia 76ers,3,0
Indiana Pacers,Phoenix Suns,0,2
Indiana Pacers,Portland Trail Blazers,1,1
Indiana Pacers,Sacramento Kings,2,0
Indiana Pacers,San Antonio Spurs,1,1
Indiana Pacers,Toronto Raptors,2,2
Indiana Pacers,Utah Jazz,2,0
Indiana Pacers,Washington Wizards,2,1
Los Angeles Clippers,Los Angeles Lakers,3,1
Los Angeles Clippers,Memphis Grizzlies,1,2
Los Angeles Clippers,Miami Heat,0,2
Los Angeles Clippers,Milwaukee Bucks,2,0
Los Angeles Clippers,Minnesota Timberwolves,4,0
Los Angeles Clippers,New Orleans Pelicans,3,1
Los Angeles Clippers,New York Knicks,2,0
Los Angeles Clippers,Oklahoma City Thunder,2,2
Los Angeles Clippers,Orlando Magic,1,1
Los Angeles Clippers,Philadelphia 76ers,2,0
Los Angeles Clippers,Phoenix Suns,3,1
Los Angeles Clippers,Portland Trail Blazers,1,2
Los Angeles Clippers,Sacramento Kings,4,0
Los Angeles Clippers,San Antonio Spurs,1,2
Los Angeles Clippers,Toronto Raptors,2,0
Los Angeles Clippers,Utah Jazz,3,0
Los Angeles Clippers,Washington Wizards,2,0
Los Angeles Lakers,Memphis Grizzlies,1,3
Los Angeles Lakers,Miami Heat,0,2
Los Angeles Lakers,Milwaukee Bucks,0,2
Los Angeles Lakers,Minnesota Timberwolves,1,3
Los Angeles Lakers,New Orleans Pelicans,1,2
Los Angeles Lakers,New York Knicks,1,1
Los Angeles Lakers,Oklahoma City Thunder,1,3
Los Angeles Lakers,Orlando Magic,1,1
Los Angeles Lakers,Philadelphia 76ers,1,1
Los Angeles Lakers,Phoenix Suns,1,3
Los Angeles Lakers,Portland Trail Blazers,1,2
Los Angeles Lakers,Sacramento Kings,3,1
Los Angeles Lakers,San Antonio Spurs,1,3
Los Angeles Lakers,Toronto Raptors,1,1
Los Angeles Lakers,Utah Jazz,2,2
Los Angeles Lakers,Washington Wizards,0,2
Memphis Grizzlies,Miami Heat,1,1
Memphis Grizzlies,Milwaukee Bucks,2,0
Memphis Grizzlies,Minnesota Timberwolves,2,2
Memphis Grizzlies,New Orleans Pelicans,1,3
Memphis Grizzlies,New York Knicks,2,0
Memphis Grizzlies,Oklahoma City Thunder,1,3
Memphis Grizzlies,Orlando Magic,2,0
Memphis Grizzlies,Philadelphia 76ers,2,0
Memphis Grizzlies,Phoenix Suns,4,0
Memphis Grizzlies,Portland Trail Blazers,2,1
Memphis Grizzlies,Sacramento Kings,3,0
Memphis Grizzlies,San Antonio Spurs,0,4
Memphis Grizzlies,Toronto Raptors,0,2
Memphis Grizzlies,Utah Jazz,3,0
Memphis Grizzlies,Washington Wizards,2,0
Miami Heat,Milwaukee Bucks,3,0
Miami Heat,Minnesota Timberwolves,1,1
Miami Heat,New Orleans Pelicans,1,1
Miami Heat,New York Knicks,3,1
Miami Heat,Oklahoma City Thunder,1,1
Miami Heat,Orlando Magic,4,0
Miami Heat,Philadelphia 76ers,1,2
Miami Heat,Phoenix Suns,2,0
Miami Heat,Portland Trail Blazers,2,0
Miami Heat,Sacramento Kings,1,1
Miami Heat,San Antonio Spurs,1,1
Miami Heat,Toronto Raptors,4,0
Miami Heat,Utah Jazz,1,1
Miami Heat,Washington Wizards,2,2
Milwaukee Bucks,Minnesota Timberwolves,0,2
Milwaukee Bucks,New Orleans Pelicans,0,2
Milwaukee Bucks,New York Knicks,1,3
Milwaukee Bucks,Oklahoma City Thunder,0,2
Milwaukee Bucks,Orlando Magic,2,2
Milwaukee Bucks,Philadelphia 76ers,2,1
Milwaukee Bucks,Phoenix Suns,0,2
Milwaukee Bucks,Portland Trail Blazers,0,2
Milwaukee Bucks,Sacramento Kings,0,2
Milwaukee Bucks,San Antonio Spurs,0,2
Milwaukee Bucks,Toronto Raptors,0,4
Milwaukee Bucks,Utah Jazz,1,1
Milwaukee Bucks,Washington Wizards,1,3
Minnesota Timberwolves,New Orleans Pelicans,2,1
Minnesota Timberwolves,New York Knicks,1,1
Minnesota Timberwolves,Oklahoma City Thunder,1,3
Minnesota Timberwolves,Orlando Magic,1,1
Minnesota Timberwolves,Philadelphia 76ers,2,0
Minnesota Timberwolves,Phoenix Suns,1,2
Minnesota Timberwolves,Portland Trail Blazers,1,3
Minnesota Timberwolves,Sacramento Kings,2,2
Minnesota Timberwolves,San Antonio Spurs,1,2
Minnesota Timberwolves,Toronto Raptors,0,2
Minnesota Timberwolves,Utah Jazz,3,1
Minnesota Timberwolves,Washington Wizards,1,1
New Orleans Pelicans,New York Knicks,1,1
New Orleans Pelicans,Oklahoma City Thunder,1,2
New Orleans Pelicans,Orlando Magic,1,1
New Orleans Pelicans,Philadelphia 76ers,2,0
New Orleans Pelicans,Phoenix Suns,0,4
New Orleans Pelicans,Portland Trail Blazers,1,3
New Orleans Pelicans,Sacramento Kings,1,3
New Orleans Pelicans,San Antonio Spurs,0,4
New Orleans Pelicans,Toronto Raptors,0,2
New Orleans Pelicans,Utah Jazz,2,2
New Orleans Pelicans,Washington Wizards,0,2
New York Knicks,Oklahoma City Thunder,0,2
New York Knicks,Orlando Magic,2,1
New York Knicks,Philadelphia 76ers,3,1
New York Knicks,Phoenix Suns,1,1
New York Knicks,Portland Trail Blazers,0,2
New York Knicks,Sacramento Kings,1,1
New York Knicks,San Antonio Spurs,1,1
New York Knicks,Toronto Raptors,2,2
New York Knicks,Utah Jazz,2,0
New York Knicks,Washington Wizards,0,3
Oklahoma City Thunder,Orlando Magic,1,1
Oklahoma City Thunder,Philadelphia 76ers,2,0
Oklahoma City Thunder,Phoenix Suns,1,2
Oklahoma City Thunder,Portland Trail Blazers,2,2
Oklahoma City Thunder,Sacramento Kings,4,0
Oklahoma City Thunder,San Antonio Spurs,4,0
Oklahoma City Thunder,Toronto Raptors,1,1
Oklahoma City Thunder,Utah Jazz,3,1
Oklahoma City Thunder,Washington Wizards,1,1
Orlando Magic,Philadelphia 76ers,3,1
Orlando Magic,Phoenix Suns,0,2
Orlando Magic,Portland Trail Blazers,1,1
Orlando Magic,Sacramento Kings,0,2
Orlando Magic,San Antonio Spurs,0,2
Orlando Magic,Toronto Raptors,0,3
Orlando Magic,Utah Jazz,0,2
Orlando Magic,Washington Wizards,0,4
Philadelphia 76ers,Phoenix Suns,0,2
Philadelphia 76ers,Portland Trail Blazers,1,1
Philadelphia 76ers,Sacramento Kings,1,1
Philadelphia 76ers,San Antonio Spurs,0,2
Philadelphia 76ers,Toronto Raptors,0,4
Philadelphia 76ers,Utah Jazz,0,2
Philadelphia 76ers,Washington Wizards,1,3
Phoenix Suns,Portland Trail Blazers,3,1
Phoenix Suns,Sacramento Kings,2,2
Phoenix Suns,San Antonio Spurs,1,3
Phoenix Suns,Toronto Raptors,2,0
Phoenix Suns,Utah Jazz,2,2
Phoenix Suns,Washington Wizards,1,1
Portland Trail Blazers,Sacramento Kings,3,1
Portland Trail Blazers,San Antonio Spurs,2,2
Portland Trail Blazers,Toronto Raptors,2,0
Portland Trail Blazers,Utah Jazz,4,0
Portland Trail Blazers,Washington Wizards,1,1
Sacramento Kings,San Antonio Spurs,0,3
Sacramento Kings,Toronto Raptors,1,1
Sacramento Kings,Utah Jazz,1,2
Sacramento Kings,Washington Wizards,1,1
San Antonio Spurs,Toronto Raptors,2,0
San Antonio Spurs,Utah Jazz,4,0
San Antonio Spurs,Washington Wizards,2,0
Toronto Raptors,Utah Jazz,2,0
Toronto Raptors,Washington Wizards,3,1
Utah Jazz,Washington Wizards,1,1
